frag_id,ion_type,series,frag_len,charge,H2O,NH3,CO,CO2,2H2O,2NH3,variant_type,variant_suffix,variant_pass_count,%H,%2H,obs_idx,obs_mz,obs_int,obs_rel_int,anchor_theory_mz,anchor_ppm,css,rawcos,cos0,w0,w_plusH,w_plus2H,w_minusH,w_minus2H,label
c18,c,c,18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,36767,2012.2710699761628,106.7,0.0004605092792403971,2012.257176,6.904672190252165,0.9998918089885143,0.999891808988514,0.999891808988514,1.0,0.0,0.0,0.0,0.0,c18^1+ | 6.9 ppm | css=1.000
c9,c,c,9,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,17334,998.6865606675093,192.1,0.0008290893396633577,998.683311,3.253951952036115,0.9995182085028432,0.9997004515484392,0.9997004515484392,1.0,0.0,0.0,0.0,0.0,c9^1+ | 3.3 ppm | css=1.000
z-dot1-NH3,z-dot,z,1,1,0,1,0,0,0,0,nonmodified,,1,100.0,0.0,83,140.08245736303593,11.49,4.95899870522227e-05,140.082387,0.5022975223637379,0.9993865340926665,0.7039439794962781,0.9968940307280626,0.0,0.0,0.0,1.0,0.0,z-dot1-NH3^1+ | 0.5 ppm | css=0.999 | %H=100 | %2H=0 | -mix
z-dot19-2H2O,z-dot,z,19,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,36736,2011.2516666478562,92.37,0.0003986620630125162,2011.19691,27.225900946847506,0.9990610818094325,0.5720944438746733,0.9390596608879315,0.0,0.0,0.0,1.0,0.0,z-dot19-2H2O^1+ | 27.2 ppm | css=0.999 | %H=100 | %2H=0 | -mix
y25,y,y,25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,7294,911.9015773183719,1412.0,0.006094087181700475,911.898412,3.471130479262744,0.9988543537668894,0.9990202926125011,0.9990202926125011,1.0,0.0,0.0,0.0,0.0,y25^3+ | 3.5 ppm | css=0.999
c5,c,c,5,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,2142,572.3919688344961,537.7,0.002320673284419508,572.387857,7.183650816040262,0.9987719073464566,0.9998779198207742,0.9998779198207742,1.0,0.0,0.0,0.0,0.0,c5^1+ | 7.2 ppm | css=0.999
c4,c,c,4,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,1380,471.3424389122442,379.7,0.00163875701337937,471.340178,4.796773858298865,0.9985563294599802,0.9988496873570635,0.9988496873570635,1.0,0.0,0.0,0.0,0.0,c4^1+ | 4.8 ppm | css=0.999
c16,c,c,16,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,34852,1827.1482655583832,109.8,0.0004738886491152352,1827.14075,4.113289237924027,0.9983648026162684,0.9983648026162683,0.9983648026162683,1.0,0.0,0.0,0.0,0.0,c16^1+ | 4.1 ppm | css=0.998
z-dot12,z-dot,z,12,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,23037,1235.7791347642915,157.6,0.0006801899007337073,1235.770842,6.710600387820115,0.9981935504995116,0.9982291861673365,0.9982291861673365,1.0,0.0,0.0,0.0,0.0,z-dot12^1+ | 6.7 ppm | css=0.998
z-dot15,z-dot,z,15,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,32940,1648.9793838448538,135.7,0.0005856711264566249,1648.977147,1.3565044596515994,0.9979087133710278,0.9981389837943782,0.9981389837943782,1.0,0.0,0.0,0.0,0.0,z-dot15^1+ | 1.4 ppm | css=0.998
